specimen_number,mean_PI,mean_buds,mean_flowers,mean_spent,mean_immature,mean_mature,flowers_present,fruit_present
OBI106046,2.65211246775,3.5,5.25,3.75,3.25,2.75,y,y
OBI106047,2.75,0.5,1,1,1,0,y,y
OBI106048,2.8866666666,0.4,1.8,1.2,1.8,0,y,y
OBI106049,3.117647059,5,8,5,10,6,y,y
OBI106051,2.6666666666666665,1,1.3333333333333333,0.6666666666666666,1,0.3333333333333333,y,y
OBI106053,2.555555556,6,15,19,3,2,y,y
OBI106055,1.8333333332,1,1.8,0.2,0,0,y,n
OBI106056,1.6593915343333334,2,2.1666666666666665,0,0,0,y,n
OBI106058,3.4837832144,4.4,4.6,3.4,4.4,12,y,y
OBI106059,2.025793651,1.6666666666666667,4.333333333333333,0.3333333333333333,0.6666666666666666,0,y,y
OBI106060,2.1777777780000003,1.3333333333333333,6.333333333333333,0,2.3333333333333335,0,y,y
OBI106061,2.6471861475000003,1.25,3.5,0.25,2.5,0.5,y,y
OBI106062,2,0,1,0,0,0,y,n
OBI106063,3.55876068375,0,2.75,1.5,4,0.75,y,y
OBI161451,2.666666667,1,2,1,2,0,y,y
RSA0003800,1.5833333335000002,5,3.5,0,0.5,0,y,y
RSA0010691,2.7,2,2,0.5,1,1,y,y
RSA0011369,NA,1.2,0.4,0.2,0.4,0.4,y,y
RSA0022321,3,6,7,5,19,0,y,y
RSA0028724,2.164021164,0.8333333333333334,3.3333333333333335,1,0.5,0,y,y
RSA0028725,2.7,0.5,5.5,0,4,0,y,y
RSA0028793,3.35,1,6,1,9,3,y,y
RSA0035444,2.4544290833333333,4.666666666666667,10.333333333333334,3,4,1.3333333333333333,y,y
RSA0036056,NA,NA,NA,NA,NA,NA,y,y
RSA0036743,2.7083333334999997,1.5,1.5,1.5,2,0.5,y,y
RSA0037197,NA,NA,NA,NA,NA,NA,y,y
RSA0043164,2.375,1.5,2,1.5,1.5,0,y,y
RSA0043165,NA,NA,NA,NA,NA,NA,y,y
RSA0043192,1.8,1,4,0,0,0,y,n
RSA0043193,1.4726190478,3.6,2.4,0.2,0,0,y,n
RSA0043194,1.82575757575,3.75,6,0.25,1,0.25,y,y
RSA0043195,3.125,1,8,1,0,6,y,y
RSA0046820,2.582815735,2.3333333333333335,4.666666666666667,5,1.6666666666666667,0,y,y
RSA0049807,2.92708333325,1.25,1,0.5,0.5,0.75,y,y
RSA0051320,NA,NA,NA,NA,NA,NA,y,y
RSA0056306,2.280952381,2,3.25,0.75,1.25,0.25,y,y
RSA0057838,2.2666666665,3,6,2,1,1,y,y
RSA0059611,2.111111111,2.5,1,0.5,1.5,0,y,y
RSA0059738,2.0261904762,1.4,1.8,0.4,0.6,0,y,y
RSA0060576,2.6256613756666667,4,1.6666666666666667,0.3333333333333333,2,1.3333333333333333,y,y
RSA0065634,2.103013945,5,7.666666666666667,0.3333333333333333,3.6666666666666665,0.3333333333333333,y,y
RSA0067586,2.7424242425,3.5,0.5,1,1.5,2,y,y
RSA0070947,1.4345238095,7.5,4,0,1,0,y,y
RSA0070948,3.6888888890000002,0.5,2,2,4,3.5,y,y
RSA0073849,1.628409091,2.25,1.75,1.5,0,0,y,n
RSA0073853,1.9,1.2,0.8,0.4,0.2,0.4,y,y
RSA0077591,3,0,1,0,1,0,y,y
RSA0093736,2.7435897436666665,1.6666666666666667,4.333333333333333,0,3.3333333333333335,0,y,y
RSA0094763,2.58333333325,0.75,1,0.5,1.25,0,y,y
SBBG164498,2.3249999999999997,0.5,3.5,0.75,0.5,0,y,y
SBBG164500,1.8,1,4,0,0,0,y,n
SBBG164505,1.5352678570625,1.8125,1.1875,0.0625,0.125,0,y,y
SBBG164507,2.2083333333333335,2.3333333333333335,3.3333333333333335,1,1.6666666666666667,0,y,y
SBBG164508,1.9217261905,2.25,2.5,1.5,0,0.125,y,y
SBBG164509,1.6587301586666667,3.3333333333333335,2.6666666666666665,0.3333333333333333,0.3333333333333333,0,y,y
SBBG164510,2.6202046035,3,7,5,4.5,0.5,y,y
SBBG164512,2.8142205016666666,1.3333333333333333,3.5,2.1666666666666665,3.3333333333333335,0.3333333333333333,y,y
SBBG164515,2.5,0.5,1.25,0.25,0.5,0.25,y,y
SBBG164516,2.09375,9.5,13,0.5,4.5,1,y,y
SBBG164517,2.3333333333333335,1.3333333333333333,3,0.3333333333333333,1,0,y,y
SBBG164522,3.923076923,0,2,1,6,4,y,y
SBBG164525,NA,NA,NA,NA,NA,NA,y,y
SBBG164526,2.0625,0.75,1.75,0,0.25,0.25,y,y
SBBG164527,1.8095238094285715,1.4285714285714286,1.1428571428571428,0.42857142857142855,0.14285714285714285,0,y,y
SBBG164529,2.1494949495,1.6666666666666667,6.333333333333333,0.8333333333333334,1.1666666666666667,0.16666666666666666,y,y
SBBG172001,2.555555555333333,0.6666666666666666,1.3333333333333333,0,1.3333333333333333,0,y,y
SD00008033,1.7222222219999999,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,y,y
SD00008034,2.75,0.5,1.25,1.75,1.75,0,y,y
SD00010429,3.2207892416666666,2,3.6666666666666665,4,3,4,y,y
SD00010431,1.58333333325,1,1,0,0,0,y,n
SD00010432,2.2125,3,2.5,2,1.5,0,y,y
SD00010433,2.974358974333333,2,2.6666666666666665,1.6666666666666667,3.3333333333333335,1.6666666666666667,y,y
SD00010434,1.7161904762,3.2,2.6,0.8,0.4,0,y,y
SD00010435,2.981818182,11,15,3,16,10,y,y
SD00010436,2.888888889,0.6666666666666666,0.6666666666666666,1,1.3333333333333333,0,y,y
SD00010437,1.7082010583333334,4,3.6666666666666665,0.8333333333333334,0.16666666666666666,0,y,y
SD00010438,1.6333333335,3,1.5,1,0,0,y,n
SD00010439,1.391304348,16,6,0,1,0,y,y
SD00010440,2.2928388745,4,9.5,3.5,3,0,y,y
SD00010441,2.1666666666666665,0.6666666666666666,1.3333333333333333,1,0.3333333333333333,0,y,y
SD00010443,3.0606060606666667,0,2,1.6666666666666667,2.6666666666666665,0,y,y
SD00010444,2.326923077,6.5,7.5,4,2.5,2,y,y
SD00010445,3.231884058,3,19,20,13,14,y,y
SD00010446,2.2,2,1.5,0,1.5,0,y,y
SD00010447,1.725,10.5,5.5,2.5,1,0,y,y
SD00010448,1.7777777776666666,2,1.6666666666666667,0,0.6666666666666666,0,y,y
SD00010449,1.7952380953333333,2,2.6666666666666665,0,0.6666666666666666,0,y,y
SD00010450,NA,NA,NA,NA,NA,NA,y,y
SD00010451,2.2222222225,1.5,4,0,2,0,y,y
SD00010452,1.7126623376,5.4,1.6,1.8,0.4,0,y,y
SD00010453,NA,NA,NA,NA,NA,NA,y,y
SD00010454,1.8095238095,2,1.5,1,0.5,0,y,y
SD00010455,2.104629629666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.6666666666666666,0,y,y
SD00010456,1.8245454546000002,7.2,2.8,3.2,0.4,0.4,y,y
SD00010457,2.435897436,19,30,10,14,5,y,y
SD00010458,2.25,2,3,0,2,0,y,y
SD00010459,1.64333333328,1.08,1.2,0.04,0.04,0,y,y
SD00010461,2.55,6,6,1,5,2,y,y
SD00010462,2.777777778,10,7,4,11,4,y,y
SD00010463,2.4642857145,1,1.5,1,1,0,y,y
SD00010464,2.6746031749999997,2.3333333333333335,2.3333333333333335,0.6666666666666666,2.6666666666666665,1,y,y
SD00010465,3.1885521883333334,4,5,0.6666666666666666,5.333333333333333,1,y,y
